"Group_Number","Group_Index","URL_Original","PathName_Original","FileName_Original","Series_Original","Frame_Original","Channel_Original","Metadata_Date","Metadata_FileLocation","Metadata_Frame","Metadata_NR","Metadata_STAIN","Metadata_Series","Metadata_T_NUMBER","Metadata_X","Metadata_Y"
1,1,"file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.GLYCC.X1.Y2.normalized.tile.tissue.png","/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles","AE1468.GLYCC.X1.Y2.normalized.tile.tissue.png",0,0,-2,"","file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.GLYCC.X1.Y2.normalized.tile.tissue.png","0","AE1468","GLYCC","0","","X1","Y2"
1,2,"file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.T14-12345.GLYCC.20211107.X1.Y2.normalized.tile.tissue.png","/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles","AE1468.T14-12345.GLYCC.20211107.X1.Y2.normalized.tile.tissue.png",0,0,-2,"20211107","file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.T14-12345.GLYCC.20211107.X1.Y2.normalized.tile.tissue.png","0","AE1468","GLYCC","0","T14-12345","X1","Y2"
1,3,"file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.T14-12345.GLYCC.X1.Y2.normalized.tile.tissue.png","/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles","AE1468.T14-12345.GLYCC.X1.Y2.normalized.tile.tissue.png",0,0,-2,"","file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.T14-12345.GLYCC.X1.Y2.normalized.tile.tissue.png","0","AE1468","GLYCC","0","T14-12345","X1","Y2"
1,4,"file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.UMC.GLYCC.X1.Y2.normalized.tile.tissue.png","/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles","AE1468.UMC.GLYCC.X1.Y2.normalized.tile.tissue.png",0,0,-2,"","file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/GLYCC/AE1468.GLYCC/AE1468.GLYCC.tiles/AE1468.UMC.GLYCC.X1.Y2.normalized.tile.tissue.png","0","AE1468","GLYCC","0","UMC","X1","Y2"
