# of accepted objects,169
10th pctile diameter,12.5 pixels
Median diameter,14.6 pixels
90th pctile diameter,19.6 pixels
Area covered by objects,0.8 %
Thresholding filter size,0.0
Threshold,0.7
Declumping smoothing filter size,8.1
Maxima suppression size,8.4
