ImageNumber,ObjectNumber,Metadata_Date,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Xcoord,Metadata_Y,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,20,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,365.27142857142854,713.2985714285714,0,20
1,21,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,266.0172661870504,727.2345323741007,0,21
1,22,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,572.4533582089553,762.4216417910447,0,22
1,23,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,226.80838323353294,764.6302395209581,0,23
1,24,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,781.0341463414634,756.3609756097561,0,24
1,25,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,70.40816326530613,779.7687074829932,0,25
1,26,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,24.137404580152673,785.9351145038167,0,26
1,27,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,576.8372881355932,789.9898305084746,0,27
1,28,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,128.4189723320158,793.8083003952569,0,28
1,29,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,381.66530612244895,788.0367346938775,0,29
1,30,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,294.1189189189189,795.5689189189189,0,30
1,31,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,749.6385281385282,794.3354978354978,0,31
1,32,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1719.8971871968963,810.6517943743938,0,32
1,33,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,688.4362745098039,803.0343137254902,0,33
1,34,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1101.9170731707318,808.3853658536585,0,34
1,35,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,856.0388888888889,820.9222222222222,0,35
1,36,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,46.3646408839779,816.5469613259669,0,36
1,37,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,593.9867021276596,831.1808510638298,0,37
1,38,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,264.4950773558368,831.7763713080169,0,38
1,39,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,94.75862068965517,840.1914893617021,0,39
1,40,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,641.5951219512195,831.3268292682927,0,40
1,41,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1766.8709677419354,849.752688172043,0,41
1,42,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,207.0655172413793,842.4551724137931,0,42
1,43,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1167.4705882352941,849.3903743315508,0,43
1,44,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1229.6263269639066,851.4564755838641,0,44
1,45,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,750.6494845360825,850.6855670103092,0,45
1,46,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,234.75085324232083,864.8813993174061,0,46
1,47,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1136.0886287625417,872.0886287625418,0,47
1,48,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1057.0323383084576,878.6169154228855,0,48
1,49,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,780.9902912621359,869.3252427184466,0,49
1,50,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,642.1809523809524,883.4857142857143,0,50
1,51,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1798.5828877005347,897.0534759358288,0,51
1,52,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,81.17142857142858,913.7714285714286,0,52
1,53,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1214.1715210355987,913.1844660194175,0,53
1,54,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,817.1881918819188,916.2361623616237,0,54
1,55,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1364.369261477046,925.4980039920159,0,55
1,56,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,962.8597285067873,917.1266968325792,0,56
1,57,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1103.8953356086463,930.0182025028441,0,57
1,58,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,55.8624031007752,938.077519379845,0,58
1,59,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1811.2768595041323,932.702479338843,0,59
1,60,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,46.51658767772512,961.1421800947867,0,60
1,61,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,690.6086956521739,952.8221343873518,0,61
1,62,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1224.9642857142858,970.1428571428571,0,62
1,63,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,214.38565022421525,961.4260089686098,0,63
