ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_TILENR,Metadata_T_NUMBER,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,13,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,605.1180024164318,1843.1091421667338,0,13
3,14,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,989.1213563355145,1978.4657941701369,0,14
3,15,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,780.5148902821317,1986.353448275862,0,15
4,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,1902.4940189742886,81.4798570053623,0,1
4,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,1845.524763372221,345.7076821483601,0,2
4,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,249.3802295698616,1509.0691437431803,0,3
4,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,617.3117909934685,1232.2798212444138,0,4
4,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,317.8243636363636,1226.2705454545455,0,5
4,6,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,446.98604927278126,1411.5342831700802,0,6
4,7,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,1107.4842222623997,1752.5734074609775,0,7
4,8,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,315.0802139037433,1425.449961802903,0,8
4,9,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,262.57564575645756,1521.6804428044281,0,9
4,10,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,602.9046184738955,1582.1972891566265,0,10
4,11,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,911.7120600115406,1719.9671090594345,0,11
4,12,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,750.0180120080054,1715.4569713142096,0,12
4,13,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_030.normalized.tile.tissue.png,0,AE4780,SMA,0,030,,842.5182481751825,1976.0452554744525,0,13
5,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_034.normalized.tile.tissue.png,0,AE4780,SMA,0,034,,1982.521265560166,1233.6089211618257,0,1
5,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_034.normalized.tile.tissue.png,0,AE4780,SMA,0,034,,1979.6840840840841,1349.6312312312311,0,2
5,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_034.normalized.tile.tissue.png,0,AE4780,SMA,0,034,,1921.008597883598,1375.9212962962963,0,3
5,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_034.normalized.tile.tissue.png,0,AE4780,SMA,0,034,,1542.6061909426921,1786.3327270669326,0,4
6,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,934.5215272298734,1340.9426549750822,0,1
6,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1266.4237400530503,783.0775862068965,0,2
6,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1849.5548232474537,1343.96285200719,0,3
6,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1954.440892641737,1387.0006031363089,0,4
6,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1465.7007407407407,1398.4162962962962,0,5
6,6,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,642.6727766463001,1412.5281737949763,0,6
6,7,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1711.033844942936,1402.8354978354978,0,7
6,8,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,599.7878378378379,1466.9006756756758,0,8
6,9,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,311.3228299643282,1578.0017835909632,0,9
6,10,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1342.5524475524476,1602.3594405594406,0,10
6,11,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1209.592649310873,1629.5053598774884,0,11
6,12,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1856.4246368038741,1703.0817191283293,0,12
6,13,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,44.29607977991747,1691.9030261348005,0,13
6,14,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,174.40566645202833,1697.6632324533161,0,14
6,15,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1837.241339491917,1751.5837182448038,0,15
6,16,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1485.433995518292,1884.9720019135382,0,16
6,17,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_035.normalized.tile.tissue.png,0,AE4780,SMA,0,035,,1924.6473165388827,1775.8373493975903,0,17
