ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,17,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1449.8403361344538,666.3277310924369,0,17
1,18,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1721.3492647058824,703.0392156862745,0,18
1,19,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1087.0608695652174,724.491304347826,0,19
1,20,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1162.8134715025906,735.279792746114,0,20
1,21,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1004.6043956043956,743.4010989010989,0,21
1,22,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1437.8203125,747.2265625,0,22
1,23,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,974.3452380952381,761.4047619047619,0,23
1,24,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,969.547619047619,788.4920634920635,0,24
1,25,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1315.8176795580112,793.3756906077348,0,25
1,26,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,974.7355371900826,815.2809917355372,0,26
1,27,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1339.6780821917807,813.8150684931506,0,27
1,28,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1617.9160305343512,834.2977099236641,0,28
1,29,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,931.4786324786324,838.1538461538462,0,29
1,30,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,987.6564885496183,849.2595419847328,0,30
1,31,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,962.0571428571428,861.3071428571428,0,31
1,32,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1308.7173913043478,879.4492753623189,0,32
1,33,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1260.4634146341464,900.0650406504066,0,33
1,34,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1688.4251497005987,905.7904191616766,0,34
1,35,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1490.9621212121212,919.4924242424242,0,35
1,36,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1823.4383561643835,928.634703196347,0,36
1,37,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1047.1666666666667,935.049645390071,0,37
1,38,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,933.882096069869,948.5545851528384,0,38
1,39,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1706.0802919708028,945.8832116788321,0,39
1,40,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1536.6175115207373,954.6129032258065,0,40
1,41,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1366.821138211382,967.7642276422764,0,41
1,42,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,934.3663366336634,978.4950495049505,0,42
1,43,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,956.9225806451612,980.5935483870968,0,43
1,44,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1726.3333333333333,996.1,0,44
1,45,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1834.4101265822785,1005.2379746835443,0,45
1,46,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1293.6864406779662,1003.3813559322034,0,46
1,47,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,974.8548387096774,1005.3709677419355,0,47
1,48,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1257.1896551724137,1007.6120689655172,0,48
1,49,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1234.610294117647,1020.2205882352941,0,49
1,50,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1101.9647887323943,1032.2887323943662,0,50
1,51,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1962.1091954022988,1032.2758620689656,0,51
1,52,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1017.5254237288135,1032.906779661017,0,52
1,53,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1562.1406844106464,1044.5247148288972,0,53
1,54,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1334.7943262411347,1053.6028368794325,0,54
1,55,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1546.0098039215686,1063.8039215686274,0,55
1,56,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1972.8622754491018,1080.2395209580839,0,56
1,57,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1565.9610389610389,1079.7272727272727,0,57
1,58,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1590.2441860465117,1081.0348837209303,0,58
1,59,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1446.75,1085.0431034482758,0,59
1,60,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1509.9478260869564,1129.5391304347827,0,60
1,61,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1269.7327394209353,1135.5278396436527,0,61
1,62,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1792.878205128205,1139.423076923077,0,62
1,63,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1798.6238938053098,1153.3495575221239,0,63
1,64,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1861.3662420382166,1190.6656050955414,0,64
1,65,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1335.5034013605443,1210.9591836734694,0,65
1,66,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1765.7939698492462,1218.819095477387,0,66
1,67,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1599.8475609756097,1219.841463414634,0,67
1,68,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1494.4489795918366,1224.8367346938776,0,68
1,69,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1367.485,1235.925,0,69
1,70,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1342.9022988505747,1259.8045977011495,0,70
1,71,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1310.6456692913387,1256.7716535433071,0,71
1,72,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1323.1360946745563,1269.2692307692307,0,72
1,73,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1033.9512195121952,1274.7073170731708,0,73
1,74,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1337.158273381295,1275.978417266187,0,74
1,75,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1550.9475806451612,1272.875,0,75
1,76,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1227.2348178137652,1282.7894736842106,0,76
1,77,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1812.9251700680272,1295.7891156462586,0,77
1,78,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1777.0837209302326,1315.5627906976745,0,78
