ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1268.6499913564571,1293.7435500303181,0,1
2,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X2.Y1.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X2,Y1,1375.7125873849677,1091.2633344359308,0,1
2,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X2.Y1.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X2,Y1,31.79249518922386,1872.304682488775,0,2
3,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X3.Y8.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X3,Y8,985.0137790827828,1037.2354137056764,0,1
